	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
Recomb_Rate_10kb_q1	0.9243311	0.8594118	0.9082619	0.8758085	0.86944693	0.86147183	0.8786811	0.93666494	0.85112387	0.85650545	0.84333533	0.8227797	0.8412714	0.84426457	0.8308458	0.85932386	0.86028874	0.87006	0.9086535	0.96712476	0.8429087	0.8936966	0.8855347	0.8923314	0.9806773	1.0001601	0.8945487	0.8883915	0.90230894	0.92221355	0.9247503	0.9184982	0.93456197	0.902624	0.9126093	0.8798363	0.91683304	0.92432225	0.9359205	0.8700411	0.8910556	0.90860146	1.0205661	0.9691393	0.86745983	0.9175602	0.9997017	0.9508054	1.0005845
BLUEPRINT_DNA_methylation_MaxCPP_q2																																																	
BLUEPRINT_H3K27acQTL_MaxCPP_q2																																																	
BLUEPRINT_H3K4me1QTL_MaxCPP_q2																																																	
Backgrd_Selection_Stat_q2	0.8787417	0.78180945	0.828152	0.8669377	0.83968925	0.78816664	0.86611056	0.97284585	0.813097	0.8375624	0.76861066	0.75812453	0.77854365	0.7871517	0.73053455	0.82544404	0.82052654	0.90846276	0.9157552	1.0390106	0.8631268	0.90696794	0.9213379	0.9406187	1.0635538	1.0808682	0.84644896	0.87403387	0.8872283	0.9447836	0.74229544	0.909015	0.95161736	0.83696693	0.9362944	0.8246822	0.7948107	0.9074731	0.9545429	0.80884314	0.9307608	0.9781097	1.0743004	1.0733063	0.8443726	0.93390644	1.103627	1.0395643	1.0925893
CpG_Content_50kb_q2	0.94148505	0.83669025	0.89352775	0.92864954	0.88879955	0.835869	0.9295887	1.011974	0.8640314	0.8955281	0.81272453	0.7937677	0.8175225	0.8361451	0.76682454	0.8824859	0.8666819	0.9715117	0.9667797	1.0626243	0.9256399	0.9649812	0.981525	0.9981773	1.0699508	1.0624398	0.9061323	0.9392497	0.9530486	0.9906439	0.81230474	0.9707188	0.9952677	0.88855714	0.9915117	0.8778668	0.8487047	0.953238	0.9966823	0.86091965	0.99177814	1.028805	1.056082	1.078883	0.9083862	0.9833259	1.0836955	1.0642873	1.0778334
GERP.NS_q2	0.5184015	0.78136665	0.57150686	0.7242564	0.87215525	0.85532016	0.6931865	0.58373266	0.8703238	0.7941216	0.9068222	0.9350899	0.92829555	0.88915443	0.8973337	0.85830015	0.91014266	0.6861618	0.6578514	0.6338395	0.7934031	0.75240594	0.7189492	0.6891381	0.5233368	0.4758863	0.65573394	0.6146376	0.528298	0.70203084	0.56104106	0.5169918	0.54627013	0.66040754	0.6646822	0.77886444	0.6156195	0.6450932	0.5499406	0.7836356	0.73186255	0.60126215	0.5755504	0.43778813	0.70577574	0.55863816	0.2889442	0.5139117	0.36922604
GTEx_eQTL_MaxCPP_q2																																																	
Human_Enhancer_Villar_Species_Enhancer_Count_q2																																																	
MAF_Adj_ASMC_q2	0.7559443	0.8747401	0.7768335	0.84646785	0.90071446	0.89682716	0.83439296	0.7770116	0.9159631	0.88260204	0.94460917	0.975757	0.9508839	0.93516034	0.9454069	0.91224825	0.9291204	0.84080225	0.8015294	0.809377	0.89459836	0.8456031	0.8433797	0.83119625	0.7730262	0.7506081	0.80598605	0.8050267	0.7731836	0.81568307	0.77048886	0.7627959	0.75617355	0.79631406	0.81128204	0.85299516	0.77622205	0.7826225	0.7600241	0.86065185	0.84798974	0.80242133	0.77349716	0.7503474	0.8469055	0.77015966	0.6998178	0.7688014	0.7222137
MAF_Adj_LLD_AFR_q2	1.0156479	1.1001315	1.0414634	1.0482472	1.028527	1.0662549	1.050558	0.9530523	1.0733523	1.073028	1.1105824	1.1506919	1.0900486	1.1038536	1.1560359	1.0661384	1.0465916	1.0403721	0.9916876	0.8789509	1.0821377	0.9944404	1.0049994	0.9934575	0.87556	0.85923415	1.0376214	1.0470558	1.0358915	0.9578925	1.0493149	1.0132226	0.9672907	1.0252899	0.9808937	1.0410079	1.0296075	0.97848964	0.96704084	1.0599514	0.9930415	0.97458375	0.8279454	0.8975566	1.0761212	0.9917579	0.88765377	0.91763496	0.8766242
MAF_Adj_Predicted_Allele_Age_q2																																																	
Nucleotide_Diversity_10kb_q2	0.9066527	0.93027437	0.8923825	0.96452254	0.96113497	0.93458784	0.95900774	0.9767176	0.9619162	0.9672944	0.9485808	0.96157867	0.9536971	0.95754963	0.9347626	0.9655207	0.961928	0.98980343	0.9615436	1.0201664	0.9922841	0.9789066	0.9908809	0.9955497	1.0172288	1.0109459	0.92449194	0.94876117	0.9365727	0.97965294	0.80347747	0.9365794	0.95255107	0.9055386	0.9783348	0.93430847	0.851858	0.9381465	0.95601344	0.93188846	0.9950323	1.0018237	1.0147756	1.0145262	0.95653343	0.9560012	0.9942735	1.0099145	1.0029554
Recomb_Rate_10kb_q2	0.9911506	0.9237625	0.9699938	0.95684266	0.9457454	0.9283283	0.95917517	1.013125	0.9283585	0.9369528	0.9075952	0.889038	0.91050994	0.9128828	0.88422394	0.9336948	0.93266284	0.9647997	0.9880308	1.0383751	0.9361648	0.97663045	0.9757088	0.9835657	1.0526072	1.0662487	0.9656978	0.968159	0.98155874	0.9979078	0.9558406	0.9944866	1.0113325	0.9671998	0.9924366	0.9497993	0.9657798	0.99407953	1.0106411	0.94030225	0.97995263	1.0008458	1.0694579	1.0518628	0.9464787	0.9987025	1.0721713	1.0349349	1.0679836
BLUEPRINT_DNA_methylation_MaxCPP_q3																																																	
BLUEPRINT_H3K27acQTL_MaxCPP_q3																																																	
BLUEPRINT_H3K4me1QTL_MaxCPP_q3																																																	
Backgrd_Selection_Stat_q3	1.2250913	1.1565655	1.1993395	1.1882722	1.1706188	1.1557109	1.1922909	1.2171623	1.1613612	1.1727093	1.1411254	1.1331992	1.1447959	1.147506	1.1229024	1.1629283	1.1587353	1.1980478	1.2096591	1.1716692	1.175663	1.1930405	1.1955128	1.1993765	1.1857482	1.1856382	1.1970963	1.2031026	1.2199844	1.1990247	1.1553192	1.2281481	1.2352853	1.195353	1.2046642	1.1767195	1.1844662	1.2155191	1.2298785	1.1708574	1.1935068	1.2080892	1.1661792	1.2108588	1.182669	1.2255799	1.2485676	1.209986	1.2231048
CpG_Content_50kb_q3	1.1955626	1.275556	1.2230716	1.2468184	1.2775079	1.286459	1.2432942	1.1314472	1.291676	1.2713748	1.2998531	1.3060442	1.3034364	1.294638	1.2920986	1.2827953	1.2881674	1.2331967	1.1977513	1.041133	1.2742848	1.223445	1.2183388	1.1995872	1.0004888	0.9587287	1.236997	1.225502	1.2048144	1.1702019	1.2308136	1.1851884	1.1532288	1.2314236	1.1836946	1.2627423	1.2309021	1.1899143	1.1464233	1.2718862	1.2120757	1.1536126	0.94564253	1.007507	1.2545804	1.1731097	0.9519704	1.0602227	0.95757085
GERP.NS_q3	0.9062163	1.0040178	0.918682	1.0383153	1.0526806	1.0163718	1.0250057	1.0359735	1.0377471	1.0441525	1.003463	0.9876787	1.0046228	1.0156465	0.97421366	1.0453167	1.034619	1.0601822	1.0363401	1.1866275	1.0727928	1.0828537	1.0847596	1.0847766	1.1133215	1.079942	0.9874524	0.9784697	0.9157205	1.0893662	0.8964685	0.91966325	0.9827531	0.98158205	1.0611033	1.0261606	0.943209	1.0206704	0.9876955	1.0209591	1.1013166	1.0596182	1.2171861	1.0172716	1.0172517	0.9717922	0.820615	1.0564799	0.95487416
GTEx_eQTL_MaxCPP_q3																																																	
Human_Enhancer_Villar_Species_Enhancer_Count_q3																																																	
MAF_Adj_ASMC_q3	0.85635024	0.96586585	0.87489235	0.9566553	0.95182294	0.9527762	0.9500937	0.8906862	0.9807299	0.9819525	0.98874176	1.0192678	0.9848957	0.9935752	1.0044289	0.97874856	0.96609473	0.97646755	0.9074144	0.92637056	1.0134885	0.94088495	0.9604311	0.9542329	0.9023308	0.8720966	0.90528613	0.932196	0.9030774	0.910644	0.81741285	0.8822616	0.8634112	0.87991863	0.9213056	0.92812777	0.835726	0.86918914	0.86864907	0.9394102	0.9589246	0.9423427	0.8755868	0.8915909	0.96743554	0.88910854	0.8214852	0.90709496	0.84635586
MAF_Adj_LLD_AFR_q3	0.9692744	0.9768969	0.95946145	1.0017227	0.9947753	0.97825736	0.9988463	1.011363	0.9953495	1.0022981	0.98368573	0.98800397	0.98789775	0.99151516	0.97248226	0.9990385	0.9950333	1.0193242	1.0002701	1.0298227	1.0190427	1.0102208	1.0198842	1.0225109	1.0345999	1.0304035	0.9762277	0.99595284	0.9912798	1.0089978	0.89887685	0.9906134	0.99497914	0.9624993	1.0115591	0.9796739	0.9269824	0.98298955	0.9977835	0.9765184	1.0204147	1.0299585	1.0205413	1.0376579	0.9975951	0.99994856	1.0331942	1.0335823	1.0315949
MAF_Adj_Predicted_Allele_Age_q3	0.59227353	0.6960896	0.61706305	0.646647	0.6538241	0.67598706	0.64331645	0.5573188	0.6914811	0.6765551	0.7338336	0.77539814	0.7140386	0.7248253	0.7638502	0.6915048	0.6791814	0.63470674	0.58737546	0.5472356	0.68910635	0.611032	0.61458933	0.601517	0.52168036	0.50267726	0.6221693	0.62710744	0.60476357	0.5795723	0.63955253	0.58945835	0.55378926	0.60758793	0.5905765	0.64158463	0.612204	0.57442784	0.55725515	0.6571965	0.61393064	0.575976	0.5122027	0.5129264	0.66681474	0.57199025	0.48216397	0.53149813	0.49397913
